Anlagenschlüssel;Übertragungsnetzbetreiber;Netzbetreiber;Netzbetreiber Betriebsnummer;Energieträger;Einspeisungsebene;Leistung;Leistungsgemessene Anlage;Zeitreihentyp;Regelbarkeit;Biomasse KWK-Anteil;Biomassetechnologie;Zeitpunkt der Inbetriebnahme;Zeitpunkt der Ausserbetriebnahme;Zeitpunkt des Netzzugangs;Zeitpunkt des Netzabgangs;Bundeslandkürzel;Ort;Ortsteil;PLZ;Strasse;Nummer;Flur;Flurstück;Quelle
E40770010000010000000004609400001;50Hertz;Netz Leipzig GmbH;;Solar;NS;4.3;;;;nein;null;08.09.2010;;;;SN;Leipzig;;04328;Tilmann-Riemenscheider Weg;7;;;50hertz.com
E41081010000000000000000000157027;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;3.3;;;;nein;null;21.06.2010;;;;SN;Leipzig;Miltitz;04205;Espenweg;13;;;50hertz.com
E41081010000000000000000000181495;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;4.6;;;;nein;null;08.12.2011;;;;SN;Leipzig;Mölkau;04316;Schulstr.;4;;;50hertz.com
E41081010000000000000000000198318;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;1.7;;;;nein;null;22.10.2012;;;;SN;Leipzig;Wiederitzsch;04158;Erlenweg;8;;;50hertz.com
E41081010000000000000000000198876;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;7.0;;;;nein;null;26.10.2012;;;;SN;Leipzig;Lausen-Grünau;04207;Regenbogen;21;;;50hertz.com
E41081010000000000000000000170295;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;4.6;;;;nein;null;21.04.2011;;;;SN;Leipzig;Burghausen-Rückmarsdorf;04178;Plantagenweg;1;;;50hertz.com
E40770010000010000000005351300001;50Hertz;Netz Leipzig GmbH;;Solar;NS;4.5;;;;nein;null;15.09.2011;;;;SN;Leipzig;;04357;Herzenstr.;58;;;50hertz.com
E40770010000010000000005383600001;50Hertz;Netz Leipzig GmbH;;Solar;NS;7.0;;;;nein;null;02.12.2011;;;;SN;Leipzig;;04249;Wendelin Hipler Weg;3;;;50hertz.com
E40770010000010000000005390300001;50Hertz;Netz Leipzig GmbH;;Solar;NS;2.4;;;;nein;null;28.11.2011;;;;SN;Leipzig;;04279;Espenhainer Str.;26;;;50hertz.com
E40770010000010000000005673500001;50Hertz;Netz Leipzig GmbH;;Solar;NS;2.3;;;;nein;null;23.04.2012;;;;SN;Leipzig;;04349;Gottleubaer Str.;3;;;50hertz.com
E40770010000010000000005674200001;50Hertz;Netz Leipzig GmbH;;Solar;NS;5.3;;;;nein;null;04.05.2012;;;;SN;Leipzig;;04289;Calderonweg;4;;;50hertz.com
E40770010000010000000006438500001;50Hertz;Netz Leipzig GmbH;;Solar;NS;8.0;;;;nein;null;30.03.2013;;;;SN;Leipzig;;04329;Otterstr.;13;;;50hertz.com
E40770010000010000000006448400001;50Hertz;Netz Leipzig GmbH;;Solar;NS;15.0;;;;nein;null;12.06.2013;;;;SN;Leipzig;;04159;Pittlerstr.;32;;;50hertz.com
E40770010000010000000006444000001;50Hertz;Netz Leipzig GmbH;;Solar;NS;4.8;;;;nein;null;20.03.2013;;;;SN;Leipzig;;04279;Sigebandweg;13;;;50hertz.com
E40770010000010000000006448600001;50Hertz;Netz Leipzig GmbH;;Solar;NS;7.0;;;;nein;null;19.07.2013;;;;SN;Leipzig;;04277;Am Wolfswinkel;66;;;50hertz.com
E40770010000010000000004483400001;50Hertz;Netz Leipzig GmbH;;Solar;NS;8.1;;;;nein;null;25.05.2010;;;;SN;Leipzig;;04249;Hagebuttenweg;30;;;50hertz.com
E40770010000010000000004534300001;50Hertz;Netz Leipzig GmbH;;Solar;NS;4.6;;;;nein;null;30.06.2010;;;;SN;Leipzig;;04249;Seumestr.;37;;;50hertz.com
E41081010000000000000000000169202;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;1.2;;;;nein;null;11.04.2011;;;;SN;Leipzig;Mölkau;04316;Osthöhe;34;;;50hertz.com
E41081010000000000000000000189574;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;4.0;;;;nein;null;30.03.2012;;;;SN;Leipzig;Böhlitz-Ehrenberg;04178;Waldblick;25;;;50hertz.com
E41081010000000000000000000190629;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;6.0;;;;nein;null;29.03.2012;;;;SN;Leipzig;Wiederitzsch;04158;Melissenweg;14;;;50hertz.com
E41081010000000000000000000197578;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;3.8;;;;nein;null;13.09.2012;;;;SN;Leipzig;Liebertwolkwitz;04288;Quermaße;5;;;50hertz.com
E41081010000000000000000000202703;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;4.0;;;;nein;null;18.12.2012;;;;SN;Leipzig;Baalsdorf;04316;Brandiser Str.;95;;;50hertz.com
E41081010000000000000000000202725;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;4.0;;;;nein;null;19.12.2012;;;;SN;Leipzig;Mölkau;04316;Paunsdorfer Str.;85;;;50hertz.com
E41081010000000000000000000203228;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;1.2;;;;nein;null;21.12.2012;;;;SN;Leipzig;Lützschena-Stahmeln;04159;Kleiner Poetenweg;5;;;50hertz.com
E41081010000000000000000000172180;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;12.5;;;;nein;null;08.07.2011;;;;SN;Leipzig;Engelsdorf;04319;Engelsdorfer Str.;304;;;50hertz.com
E40770010000010000000005514500001;50Hertz;Netz Leipzig GmbH;;Solar;NS;2.1;;;;nein;null;23.12.2011;;;;SN;Leipzig;;04207;Lausner Weg;38b;;;50hertz.com
E41081010000000000000000000190077;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;10.0;;;;nein;null;30.03.2012;;;;SN;Leipzig;Mölkau;04316;Schubarthstr.;22;;;50hertz.com
E40770010000010000000006359900001;50Hertz;Netz Leipzig GmbH;;Solar;NS;3.0;;;;nein;null;14.05.2013;;;;SN;Leipzig;;04299;Lichtenbergweg !4;;;;50hertz.com
E40770010000010000000006390900001;50Hertz;Netz Leipzig GmbH;;Solar;NS;18.0;;;;nein;null;16.05.2013;;;;SN;Leipzig;;04107;Hohestr.;9-13;;;50hertz.com
E40770010000010000000000477800001;50Hertz;Netz Leipzig GmbH;;Solar;NS;1.2;;;;nein;null;16.11.2000;;;;SN;Leipzig;;04299;Sonnenwinkel;16;;;50hertz.com
E40770010000010000000004392400001;50Hertz;Netz Leipzig GmbH;;Solar;NS;7.6;;;;nein;null;22.03.2010;;;;SN;Leipzig;;04357;Berthastr.;3;;;50hertz.com
