Anlagenschlüssel;Übertragungsnetzbetreiber;Netzbetreiber;Netzbetreiber Betriebsnummer;Energieträger;Einspeisungsebene;Leistung;Leistungsgemessene Anlage;Zeitreihentyp;Regelbarkeit;Biomasse KWK-Anteil;Biomassetechnologie;Zeitpunkt der Inbetriebnahme;Zeitpunkt der Ausserbetriebnahme;Zeitpunkt des Netzzugangs;Zeitpunkt des Netzabgangs;Bundeslandkürzel;Ort;Ortsteil;PLZ;Strasse;Nummer;Flur;Flurstück
E41081010000000000000000000166098;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;10001645;Solar;NS;6.0;nein;SOP;nicht regelbar;nein;null;17.12.2010;;;;SN;Leipzig;Baalsdorf;04316;Christian-Wille-Weg;56;;
E41081010000000000000000000182765;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Wind;HS;2500.0;;;;nein;null;23.05.2013;;;;SN;Leipzig;Plaußig-Portitz;04349;BMW Allee;901;;
E40770010000010000000005894600001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;4.8;nein;;;nein;null;25.06.2012;;;;SN;Leipzig;;04129;Güntheritzer Weg;11;;
E40770010000010000000005893800001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;4.9;nein;;;nein;null;20.08.2012;;;;SN;Leipzig;;04207;Erlanger Str.;27b;;
E41081010000000000000000000205790;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;3.0;;;;nein;null;28.03.2013;;;;SN;Leipzig;Liebertwolkwitz;04288;Grenzweg;16;;
E40770010000010000000006573700001;50Hertz;Netz Leipzig GmbH;;Solar;NS;4.0;;;;nein;null;16.09.2013;;;;SN;Leipzig;;04249;Perlpilzweg;23;;
E41081010000000000000000000210155;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;4.0;;;;nein;null;27.06.2013;;;;SN;Leipzig;Böhlitz-Ehrenberg;04178;Luppenaue;61;;
E40770010000010000000002682300001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;1.7;nein;;;nein;null;21.05.2008;;;;SN;Leipzig;;04349;Kutschweg;36;;
E40770010000010000000004451800001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;19.3;nein;;;nein;null;13.04.2010;;;;SN;Leipzig;;04279;Hildburgstr.;2;;
E41081010000000000000000000201425;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;10001645;Solar;NS;6.0;nein;SOP;regelbar nach § 6 Abs. 2 EEG;nein;null;30.11.2012;;;;SN;Leipzig;Lindenthal;04158;Müllerring;17;;
E41081010000000000000000000211053;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;6.0;;;;nein;null;30.08.2013;;;;SN;Leipzig;Lindenthal;04158;Verlängerte Wilhelmstr.;38;;
E41081010000000000000000000145443;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;10001645;Solar;NS;7.0;nein;SOP;nicht regelbar;nein;null;30.11.2009;;;;SN;Leipzig;Baalsdorf;04316;Apelsteinweg;1;;
E40770010000010000000004381700001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;25.0;nein;;;nein;null;24.03.2010;;;;SN;Leipzig;;04157;Pittlerstr.;28;;
E41081010000000000000000000160106;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;10001645;Solar;NS;6.0;nein;SOP;nicht regelbar;nein;null;08.09.2010;;;;SN;Leipzig;Lindenthal;04158;Sandweg;21;;
E40770010000010000000006444200001;50Hertz;Netz Leipzig GmbH;;Solar;MS;43.0;;;;nein;null;07.06.2013;;;;SN;Leipzig;;04209;Brünnerstr.;10;;
E40770010000010000000006443500001;50Hertz;Netz Leipzig GmbH;;Solar;NS;6.0;;;;nein;null;21.03.2013;;;;SN;Leipzig;;04357;Mendelejwstr.;59a;;
E40770010000010000000006447600001;50Hertz;Netz Leipzig GmbH;;Solar;NS;18.2;;;;nein;null;31.05.2013;;;;SN;Leipzig;;04129;Gräfestr.;7a;;
E40770010000010000000006445000001;50Hertz;Netz Leipzig GmbH;;Solar;NS;7.2;;;;nein;null;10.04.2013;;;;SN;Leipzig;;04277;Am Wolfswinkel;68;;
E40770010000010000000000466100001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;1.5;nein;;;nein;null;20.12.2004;;;;SN;Leipzig;;04159;Thärigenstr.;5;;
E40770010000010000000005890600002;50Hertz;Netz Leipzig GmbH;;Solar;NS;3.9;;;;nein;null;18.12.2012;;;;SN;Leipzig;;04349;Balderstr.;23;;
E40770010000010000000002445000001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;2.5;nein;;;nein;null;06.11.2007;;;;SN;Leipzig;;04289;Österreicherweg;21;;
E40770010000010000000001847300001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;12.0;nein;;;nein;null;16.11.2006;;;;SN;Leipzig;;04347;Schönefelder Allee;23a;;
E40770010000010000000005387600001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;3.8;nein;;;nein;null;21.11.2011;;;;SN;Leipzig;;04277;Am Wolfswinkel;50;;
E40770010000010000000005526600001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;29.9;nein;;;nein;null;08.04.2011;;;;SN;Leipzig;;04349;Freiberger Str.;13;;
E40770010000010000000005002200001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;4.6;nein;;;nein;null;01.04.2011;;;;SN;Leipzig;;04349;Heimdallstr.;9;;
E40770010000010000000005389200001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;4.6;nein;;;nein;null;23.11.2011;;;;SN;Leipzig;;04329;Sommerfelder Weg;6;;
E40770010000010000000005544400001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;2.5;nein;;;nein;null;30.12.2011;;;;SN;Leipzig;;04357;Gogolstr.;73;;
E40770010000010000000006366500001;50Hertz;Netz Leipzig GmbH;;Solar;NS;7.0;;;;nein;null;13.05.2013;;;;SN;Leipzig;;04249;Büttnerweg17;;;
E40770010000010000000004192300001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;29.0;nein;;;nein;null;20.10.2009;;;;SN;Leipzig;;40103;Sternwartenstr.;67;;
E40770010000010000000003975700001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;4.0;nein;;;nein;null;04.09.2009;;;;SN;Leipzig;;04328;Albrecht-Dürer-Weg;9c;;
E40770010000010000000004260500001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;4.5;nein;;;nein;null;23.12.2009;;;;SN;Leipzig;;04329;Hornissenwinkel;5;;
E40770010000010000000004203700001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;9.2;nein;;;nein;null;12.11.2009;;;;SN;Leipzig;;04177;Roßmarktstr.;30;;
E40770010000010000000004491300001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;240.0;ja;;regelbar nach § 6 Abs. 1 EEG;nein;null;30.06.2010;;;;SN;Leipzig;;04249;Raiffeisenstr.;51;;
E40770010000010000000004532700001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;3.6;nein;;;nein;null;14.06.2010;;;;SN;Leipzig;;04103;Scherlstr.;6;;
E40770010000010000000004482200001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;28.2;nein;;;nein;null;10.06.2010;;;;SN;Leipzig;;04277;Bernhard-Göring-Str.;152;;
E40770010000010000000004658400001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;9.0;nein;;;nein;null;27.09.2010;;;;SN;Leipzig;;04328;Tilmann-Riemenscheider Weg;9c;;
E40770010000010000000004673300001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;3.0;nein;;;nein;null;29.09.2010;;;;SN;Leipzig;;04105;Färberstr.;5;;
E40770010000010000000000495700001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;2.5;nein;;;nein;null;02.12.2004;;;;SN;Leipzig;;04299;Naunhofer Str.;89;;
E40770010000010000000001156100001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;3.6;nein;;;nein;null;28.12.2005;;;;SN;Leipzig;;04328;Weinbrennerstr.;39;;
E41081010000000000000000000156814;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;10001645;Solar;NS;9.0;nein;SOP;nicht regelbar;nein;null;05.06.2010;;;;SN;Leipzig;Holzhausen;04288;Marcher Str.;35;;
E41081010000000000000000000203093;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;10001645;Solar;NS;5.0;nein;;regelbar nach § 6 Abs. 2 EEG;nein;null;12.12.2012;;;;SN;Leipzig;Knautkleeberg-Knauthain;04249;Azaleenstr.;5;;
E40770010000010000000001895000001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;8.3;nein;;;nein;null;29.12.2006;;;;SN;Leipzig;;04105;Blochmann Str.;3;;
E41081010000000000000000000130849;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;10001645;Solar;NS;4.0;nein;SOP;nicht regelbar;nein;null;07.11.2008;;;;SN;Leipzig;Liebertwolkwitz;04288;Walter-Rathenau-Str.;14;;
E41081010000000000000000000199636;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;10001645;Solar;NS;7.0;nein;SOP;regelbar nach § 6 Abs. 2 EEG;nein;null;22.10.2012;;;;SN;Leipzig;Burghausen-Rückmarsdorf;04178;Straße der Einheit;3;;
E40770010000010000000005870000001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;23.0;nein;;;nein;null;20.08.2012;;;;SN;Leipzig;;04103;Perlickstr.;5;;
E41081010000000000000000000139529;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;10001645;Solar;NS;3.0;nein;SOP;nicht regelbar;nein;null;13.07.2009;;;;SN;Leipzig;Holzhausen;04288;Parkstr.;69;;
E40770010000010000000004490100002;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;2.7;nein;;;nein;null;28.06.2010;;;;SN;Leipzig;;04159;Swiftstr.;15;;
E40770010000010000000004377600001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;4.0;nein;;;nein;null;18.03.2010;;;;SN;Leipzig;;04279;Friederikenstr;13;;
E40770010000010000000006009000001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;12.5;nein;;;nein;null;19.10.2012;;;;SN;Leipzig;;04347;Rackwitzer Str.;50;;
E40770010000010000000005914300001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;5.0;nein;;;nein;null;18.07.2012;;;;SN;Leipzig;;04318;Zum Kleingartenpark;32E;;
E40770010000010000000005952600001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;6.5;nein;;;nein;null;28.09.2012;;;;SN;Leipzig;;04329;Otterstr.;55;;
E40770010000010000000003183900001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;7.5;nein;;;nein;null;08.10.2008;;;;SN;Leipzig;;04205;Suhler Str.;51;;
E41081010000000000000000000149114;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;10001645;Solar;MS;38.0;ja;SOL;regelbar nach § 6 Abs. 2 EEG;nein;null;09.12.2009;;;;SN;Leipzig;Althen-Kleinpösna;04319;An der Weide;1;;
E40770010000010000000000493500001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;4.9;nein;;;nein;null;29.10.2003;;;;SN;Leipzig;;04249;Seumestr.;135;;
E40770010000010000000000480300001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;2.0;nein;;;nein;null;29.05.2001;;;;SN;Leipzig;;04277;Eichendorfstr.;7;;
E41081010000000000000000000175063;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;10001645;Solar;NS;2.0;nein;SOP;nicht regelbar;nein;null;01.06.2011;;;;SN;Leipzig;Burghausen-Rückmarsdorf;04178;Merseburger Str.;200;;
E40770010000010000000005135000001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;14.8;nein;;;nein;null;05.07.2011;;;;SN;Leipzig;;04289;Corotweg;21;;
E41081010000000000000000000204045;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;2.6;;;;nein;null;28.01.2013;;;;SN;Leipzig;Holzhausen;04288;Geranienweg;34;;
E41081010000000000000000000207869;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;0.4;;;;nein;null;11.04.2013;;;;SN;Leipzig;Holzhausen;04288;Geranienweg;34;;
E40770010000010000000005940500001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;30.0;nein;;;nein;null;28.06.2012;;;;SN;Leipzig;;04329;Schongauer Str.;37;;
E40770010000010000000006001100001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;3.0;nein;;;nein;null;29.08.2012;;;;SN;Leipzig;;04159;Elsterblick;17;;
E40770010000010000000006253600001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;15.0;nein;;;nein;null;05.12.2011;;;;SN;Leipzig;;04159;Bucksdorffstr.;43;;
E41081010000000000000000000206485;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;8.0;;;;nein;null;11.04.2013;;;;SN;Leipzig;Althen-Kleinpösna;04319;Kleinpösnaer Anger;2;;
E41081010000000000000000000207873;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;9.8;;;;nein;null;21.05.2013;;;;SN;Leipzig;Lindenthal;04158;Dennewitzer Str.;25;;
E41081010000000000000000000165851;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;10001645;Solar;NS;5.0;nein;SOP;nicht regelbar;nein;null;22.12.2010;;;;SN;Leipzig;Baalsdorf;04316;Zum Alten Wasserwerk;39;;
