Anlagenschlüssel;Übertragungsnetzbetreiber;Netzbetreiber;Netzbetreiber Betriebsnummer;Energieträger;Einspeisungsebene;Leistung;Leistungsgemessene Anlage;Zeitreihentyp;Regelbarkeit;Biomasse KWK-Anteil;Biomassetechnologie;Zeitpunkt der Inbetriebnahme;Zeitpunkt der Ausserbetriebnahme;Zeitpunkt des Netzzugangs;Zeitpunkt des Netzabgangs;Bundeslandkürzel;Ort;Ortsteil;PLZ;Strasse;Nummer;Flur;Flurstück;Quelle
E41081010000000000000000000133751;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;8;;SOP;;;;22.12.2008;;;;SN;Leipzig;Holzhausen;04288;Zuckelhausener Ring;6;;;MitNetz.pdf
E41081010000000000000000000137982;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;5;;SOP;;;;02.06.2009;;;;SN;Leipzig;Holzhausen;04288;Zuckelhausener Ring;6;;;MitNetz.pdf
E41081010000000000000000000133760;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;2;;SOP;;;;18.12.2008;;;;SN;Leipzig;Miltitz;04205;An der Gärtnerei;9;;;MitNetz.pdf
E41081010000000000000000000133798;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;3;;SOP;;;;15.12.2008;;;;SN;Leipzig;Wiederitzsch;04158;Lönsstr.;18;;;MitNetz.pdf
E41081010000000000000000000133949;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;7;;SOP;;;;19.12.2008;;;;SN;Leipzig;Engelsdorf;04319;Opalstr.;21;;;MitNetz.pdf
E41081010000000000000000000141530;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;5;;SOP;;;;28.10.2009;;;;SN;Leipzig;Lausen-Grünau;04207;Weickmannweg;9;;;MitNetz.pdf
E41081010000000000000000000135843;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;2;;SOP;;;;31.03.2009;;;;SN;Leipzig;Böhlitz-Ehrenberg;04178;Obere Mühlenstr.;26;;;MitNetz.pdf
E41081010000000000000000000135850;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;7;;SOP;;;;20.03.2009;;;;SN;Leipzig;Lützschena-Stahmeln;04159;Freirodaer Weg;34;;;MitNetz.pdf
E41081010000000000000000000137153;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;1;;SOP;;;;11.06.2009;;;;SN;Leipzig;Hartmannsdorf-Knautnaundorf;04249;Ringweg;19;;;MitNetz.pdf
E41081010000000000000000000137389;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;2;;SOP;;;;18.05.2009;;;;SN;Leipzig;Holzhausen;04288;Parkstr.;15;;;MitNetz.pdf
